Rk,Player,Nation,Pos,Squad,Age,Born,ninety,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
19,Vicente Guaita,es ESP,GK,Crystal Palace,31,1987,19.5,23,1,0,2,1,21.6,0.25,-0.4,-0.02,134,418,32.1,403,83,60.5,47.4,190,91.6,64.3,207,17,8.2,4,0.21,12.1,Matches
20,Angus Gunn,eng ENG,GK,Southampton,22,1996,12,18,0,0,4,0,15.2,0.31,-2.8,-0.23,73,257,28.4,216,15,80.1,55.8,91,92.3,67.3,101,6,5.9,8,0.67,13.5,Matches
22,Joe Hart,eng ENG,GK,Burnley,31,1987,19,41,1,1,8,1,38.2,0.32,-1.8,-0.09,189,503,37.6,420,47,79,56.9,178,96.1,72.5,203,12,5.9,15,0.79,14.4,Matches
23,Tom Heaton,eng ENG,GK,Burnley,32,1986,19,27,1,1,2,3,23,0.28,-1,-0.05,172,473,36.4,416,45,77.2,55.2,171,88.9,66.1,228,10,4.4,15,0.79,15.2,Matches
24,Wayne Hennessey,wls WAL,GK,Crystal Palace,31,1987,17.5,26,3,1,5,0,22.1,0.29,-3.9,-0.22,115,352,32.7,366,60,62.3,49.2,145,85.5,68.4,183,8,4.4,13,0.74,15.1,Matches
25,Bernd Leno,de GER,GK,Arsenal,26,1992,31.5,42,7,1,4,2,44.4,0.29,+4.4,+0.14,140,434,32.3,877,174,33.9,35.7,226,60.6,49.7,257,16,6.2,19,0.6,14.7,Matches
26,Hugo Lloris,fr FRA,GK,Tottenham,31,1986,33,33,3,1,5,3,40.2,0.31,+10.2,+0.31,224,485,46.2,940,158,37,36.1,251,54.6,46,285,11,3.9,15,0.45,14.4,Matches
27,Jonas Lössl,dk DEN,GK,Huddersfield,29,1989,30.9,54,4,1,6,0,47.3,0.33,-6.7,-0.22,318,702,45.3,891,94,59.1,45.8,221,79.2,60.2,217,24,11.1,21,0.68,14.2,Matches
28,Alex McCarthy,eng ENG,GK,Southampton,28,1989,25,44,2,0,4,3,37.8,0.31,-3.2,-0.13,141,449,31.4,471,79,62.2,48.5,186,83.9,62.8,250,22,8.8,12,0.48,14.3,Matches
30,Rui Patrício,pt POR,GK,Wolves,30,1988,37,46,3,1,7,4,38.7,0.27,-3.3,-0.09,250,588,42.5,579,107,60.8,44,285,82.8,56.9,299,20,6.7,13,0.35,12.7,Matches
31,Jordan Pickford,eng ENG,GK,Everton,24,1994,38,46,2,2,11,2,47.8,0.34,+3.8,+0.10,290,784,37,980,156,59.3,49,290,70,60.2,277,25,9,32,0.84,15.3,Matches
32,Sergio Rico,es ESP,GK,Fulham,24,1993,29,56,4,0,8,2,51.9,0.31,-2.1,-0.07,259,623,41.6,618,91,63.3,46.1,273,85,60.4,304,21,6.9,12,0.41,12.7,Matches
34,Mathew Ryan,au AUS,GK,Brighton,26,1992,34,55,8,1,6,0,51.6,0.32,-3.4,-0.1,334,782,42.7,697,97,68,49.2,327,94.2,64,317,19,6,10,0.29,13.2,Matches
35,Kasper Schmeichel,dk DEN,GK,Leicester City,31,1986,38,48,5,0,7,0,45.2,0.3,-2.8,-0.07,348,716,48.6,920,119,51.8,42.2,315,75.9,57.6,346,29,8.4,15,0.39,13.6,Matches
